Exchange,Exchange Amount,Card Before 1,Card Before 2,Card Before 3,Card Before 4,Card Before 5,Card Exchanged 1,Card Exchanged 2,Card Exchanged 3,Win
['t'],3,1,1,5,6,9,5,6,9,False
['t'],2,1,1,8,11,12,8,11,,True
['t'],3,1,1,2,4,6,2,4,6,False
['n'],0,1,1,3,6,10,0,0,0,False
['t'],3,1,1,4,6,7,4,6,7,True
['t'],2,1,1,3,9,10,3,9,,True
['t'],3,1,1,3,6,7,3,6,7,False
['n'],0,1,1,5,9,10,0,0,0,True
['t'],3,1,1,5,8,10,5,8,10,False
['t'],2,1,1,2,10,12,2,10,,True
['t'],2,1,1,2,3,9,2,3,,False
['t'],3,1,1,5,6,10,5,6,10,True
['t'],3,1,1,5,7,11,5,7,11,False
['t'],2,1,1,4,5,11,4,5,,True
['n'],0,1,1,2,5,9,0,0,0,False
['t'],2,1,1,4,8,9,4,8,,False
['n'],0,1,1,8,10,13,0,0,0,True
['n'],0,1,1,3,5,10,0,0,0,False
['t'],2,1,1,8,9,10,8,9,,True
['n'],0,1,1,6,12,13,0,0,0,False
['t'],2,1,1,5,7,8,5,7,,True
['t'],3,1,1,3,5,9,3,5,9,False
['t'],3,1,1,3,7,8,3,7,8,True
['t'],2,1,1,2,3,8,2,3,,True
['t'],3,1,1,3,7,11,3,7,11,False
['t'],2,1,1,6,7,12,6,7,,True
['t'],3,1,1,2,6,7,2,6,7,False
['t'],3,1,1,3,4,5,3,4,5,True
['n'],0,1,1,6,8,9,0,0,0,False
['t'],2,1,1,2,10,11,2,10,,False
['t'],3,1,1,2,4,10,2,4,10,True
['t'],3,1,1,4,5,9,4,5,9,True
['t'],2,1,1,3,9,10,3,9,,False
['t'],3,1,1,5,8,9,5,8,9,True
['t'],2,1,1,3,8,11,3,8,,False
['n'],0,1,1,5,8,12,0,0,0,False
['t'],3,1,1,2,8,11,2,8,11,True
['n'],0,1,1,4,9,11,0,0,0,False
['t'],2,1,1,7,10,12,7,10,,True
['t'],3,1,1,2,6,7,2,6,7,False
['t'],2,1,1,8,9,13,8,9,,True
['t'],3,1,1,3,7,10,3,7,10,False
['t'],2,1,1,5,9,13,5,9,,True
['t'],3,1,1,2,4,5,2,4,5,True
['t'],2,1,1,7,10,12,7,10,,False
['t'],2,1,1,2,3,6,2,3,,True
['n'],0,1,1,3,8,10,0,0,0,False
['t'],3,1,1,2,7,12,2,7,12,False
['t'],2,1,1,8,10,13,8,10,,True
['t'],2,1,1,6,7,8,6,7,,False
['t'],3,1,1,2,4,13,2,4,13,True
['t'],3,1,1,4,7,10,4,7,10,True
['t'],2,1,1,3,8,11,3,8,,False
['t'],3,1,1,2,5,8,2,5,8,False
['t'],3,1,1,3,7,9,3,7,9,True
['t'],2,1,1,2,10,11,2,10,,True
['n'],0,1,1,2,5,10,0,0,0,False
['t'],2,1,1,5,10,11,5,10,,False
['t'],2,1,1,8,9,11,8,9,,True
['t'],2,1,1,4,7,13,4,7,,False
['t'],2,1,1,8,9,11,8,9,,True
['t'],2,1,1,2,8,9,2,8,,False
['t'],2,1,1,4,5,11,4,5,,True
['t'],3,1,1,4,7,10,4,7,10,True
['n'],0,1,1,6,8,12,0,0,0,False
['t'],2,1,1,11,12,13,11,12,,False
['t'],3,1,1,3,9,13,3,9,13,True
['t'],2,1,1,10,12,13,10,12,,True
['t'],3,1,1,2,6,8,2,6,8,False
['n'],0,1,1,2,9,12,0,0,0,True
['t'],2,1,1,3,5,6,3,5,,False
['n'],0,1,1,3,8,11,0,0,0,False
['t'],3,1,1,4,6,12,4,6,12,True
['t'],2,1,1,3,8,10,3,8,,False
['t'],2,1,1,5,9,11,5,9,,True
['t'],3,1,1,4,5,12,4,5,12,False
['t'],3,1,1,4,6,11,4,6,11,True
['n'],0,1,1,2,3,12,0,0,0,False
['t'],2,1,1,10,12,13,10,12,,True
['t'],2,1,1,3,10,12,3,10,,True
['n'],0,1,1,5,7,11,0,0,0,False
['t'],2,1,1,3,10,13,3,10,,True
['t'],3,1,1,7,8,12,7,8,12,False
['t'],2,1,1,2,6,9,2,6,,False
['t'],2,1,1,2,11,12,2,11,,True
['t'],2,1,1,7,9,12,7,9,,True
['n'],0,1,1,2,5,12,0,0,0,False
['t'],3,1,1,6,7,12,6,7,12,True
['t'],2,1,1,5,9,10,5,9,,False
['t'],2,1,1,2,3,13,2,3,,True
['t'],2,1,1,7,8,10,7,8,,False
['t'],3,1,1,2,3,8,2,3,8,True
['t'],2,1,1,6,8,12,6,8,,False
['t'],2,1,1,2,12,13,2,12,,True
['t'],2,1,1,6,11,12,6,11,,False
['t'],2,1,1,6,8,13,6,8,,True
['t'],2,1,1,2,3,10,2,3,,False
['t'],3,1,1,5,6,8,5,6,8,True
['t'],3,1,1,3,6,8,3,6,8,False
['n'],0,1,1,6,8,13,0,0,0,True
['t'],3,1,1,4,9,13,4,9,13,False
['t'],3,1,1,2,7,10,2,7,10,True
